smiles,label
Cc1ncc(COP(=O)(O)O)c(C=O)c1O,0
Nc1nc2c(c(=O)n1)NC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)CN2,0
NC(Cc1cncn1)C(=O)O,0
C[SH](CCC(N)C(=O)O)CC1OC([N+]2C=Nc3c(N)ncnc32)C(O)C1O,0
CC(=O)C(=O)O,0
NC(Cc1ccccc1)C(=O)O,0
C[N+](C)(C)CCO,1
NCCCCC(N)C(=O)O,0
N=C(N)NCCCC(N)C(=O)O,0
NCCCNCCCCNCCCN,0
NC(CC(=O)O)C(=O)O,0
NCCCC(N)C(=O)O,0
NC(=O)CCC(N)C(=O)O,0
Nc1ncnc2c1N=C[N+]2C1OC(COP(=O)(O)O)C(O)C1O,0
CCC=CCC=CCC=CCCCCCCCC(=O)O,0
NC(CO)C(=O)O,0
CSCCC(N)C(=O)O,0
NC(Cc1ccc(O)cc1)C(=O)O,0
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O,0
NC(CSSCC(N)C(=O)O)C(=O)O,0
Cc1cc2c(cc1C)[N+](CC(O)C(O)C(O)CO)C1=NC(=O)NC(=O)C1=N2,0
CC(=O)NC(C=O)C(O)C(O)C(O)CO,0
NC(CCC(=O)O)C(=O)O,0
NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,0
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)(C)O,0
Cc1ncc(CO)c(C=O)c1O,0
CN(CC(=O)O)C(=N)N,0
CC(C)CC(N)C(=O)O,0
NC(Cc1cnc2ccccc12)C(=O)O,1
NC(CS)C(=O)O,0
Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,0
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C,0
CCCCCC=CCC=CCC=CCCCCCCC(=O)O,0
NC(=O)NCCCC(N)C(=O)O,0
CC(O)C(N)C(=O)O,0
Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2n1,0
CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O,0
CC(N)C(=O)O,0
CC(C)C(N)C(=O)O,0
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO,0
Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,0
Cc1ncc(CO)c(CO)c1O,0
CCC(C)C(N)C(=O)O,0
COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O,0
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,0
CC1=CC(=O)c2ccccc2C1=O,0
Nc1ncnc2c1N=C[N+]2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,0
NC(=O)CC(N)C(=O)O,0
CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O)C21,0
COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1,1
CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnnn2)cc1)C(C(=O)O)C(C)C,0
CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(C(=O)O)CC2CCCC21,0
CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1,0
CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1,0
NCC(CC(=O)O)c1ccc(Cl)cc1,1
CC(N)Cc1ccccc1,1
CN1CCCC1c1cccnc1,0
CC1OC2(CS1)CN1CCC2CC1,0
COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,0
CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,0
C#CC(O)(C=CCl)CC,1
CC(Cc1ccc(O)c(O)c1)(NN)C(=O)O,1
CC(C)(N)Cc1ccccc1,1
CC(C)NCCCC1(C(N)=O)c2ccccc2-c2ccccc21,0
COc1cccc(C2(O)CCCCC2CN(C)C)c1,1
Nc1ncnc2c1N=C[N+]2C1OC(CO)C(O)C1O,0
CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,0
OC(C[n+]1cncn1)(C[n+]1cncn1)c1ccc(F)cc1F,0
Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,0
CCOC(=O)C1=CC(OC(CC)CC)C(NC(C)=O)C(N)C1,0
C[N+]1C=NC2=C1C(=O)[N+](C)C(=O)[N+]2C,1
